ARS,자치구,정류장이름,가격_원per면,경도,위도,승차_일평균,하차_일평균,승하차_일평균,경유노선수,공시지가_원per㎡,거리_시청_km,거리_강남_km,거리_여의도_km,거리_도심최근접_km,POI_total_100m,POI_total_300m,POI_음식_300m,POI_소매_300m,POI_과학·기술_300m,POI_수리·개인_300m,POI_교육_300m,POI_부동산_300m,POI_시설관리·임대_300m,POI_예술·스포츠_300m,POI_보건의료_300m,POI_숙박_300m,POI_total_500m,최근접지하철_거리_m,최근접역_승하차_일평균,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
15229,양천구,양천고등학교 [15229],308700.0,126.8456571614,37.5099267313,1322.8,158.8,1481.5,8.0,1579000.0,13.238,16.105,7.08,7.08,0.0,55.0,6.0,16.0,5.0,5.0,10.0,5.0,1.0,5.0,2.0,0.0,161.0,1291.6,21079.0,16.0,3524.0,2022.0,60.0,10912.0,4635.0,21.6
15230,양천구,계남초등학교 [15230],578200.0,126.8584301705,37.50975303,183.8,175.4,359.2,4.0,2825000.0,12.268,14.981,5.982,5.982,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,401.0,714.7,14379.0,3.0,1349.0,597.0,39.0,6378.0,1904.0,15.1
15231,양천구,목동아파트11단지(1117동) [15231],578200.0,126.8599070047,37.5073061738,591.9,353.2,945.1,4.0,2825000.0,12.299,14.83,5.924,5.924,27.0,245.0,68.0,43.0,8.0,28.0,44.0,16.0,3.0,23.0,11.0,1.0,633.0,767.5,14379.0,22.0,3349.0,1175.0,61.0,9072.0,2209.0,16.2
15232,양천구,신정1동주민센터 [15232],578200.0,126.8543710811,37.5172033635,197.8,569.6,767.3,3.0,2421000.0,12.183,15.43,6.207,6.207,105.0,293.0,75.0,51.0,25.0,36.0,36.0,16.0,7.0,24.0,17.0,6.0,914.0,342.5,21079.0,18.0,3752.0,599.0,37.0,8413.0,2164.0,12.5
15233,양천구,양명초교.신서중 [15233],578200.0,126.855702514,37.5143052592,449.6,348.9,798.5,3.0,910800.0,12.227,15.272,6.126,6.126,17.0,155.0,21.0,25.0,10.0,19.0,39.0,19.0,3.0,11.0,8.0,0.0,369.0,683.6,21079.0,15.0,3191.0,1390.0,26.0,6818.0,2418.0,10.7
15236,양천구,양천문화회관.양천일자리센터 [15236],578200.0,126.8623809974,37.5169332443,629.6,868.9,1498.5,8.0,8818000.0,11.57,14.727,5.506,5.506,14.0,441.0,100.0,42.0,10.0,14.0,218.0,1.0,0.0,29.0,27.0,0.0,818.0,586.0,14379.0,9.0,2200.0,1074.0,31.0,6788.0,2803.0,15.0
15237,양천구,목동10단지농협 [15237],617400.0,126.8563817008,37.5178010215,33.9,73.6,107.4,1.0,2825000.0,11.995,15.264,6.025,6.025,0.0,229.0,59.0,43.0,25.0,29.0,31.0,5.0,6.0,18.0,9.0,4.0,1140.0,396.1,21079.0,17.0,3208.0,436.0,48.0,9655.0,2430.0,200.5
15242,양천구,신정1동우체국 [15242],578200.0,126.861673,37.521953,249.1,209.2,458.3,6.0,6908000.0,11.372,14.878,5.541,5.541,133.0,737.0,168.0,79.0,255.0,55.0,86.0,24.0,19.0,28.0,14.0,9.0,1711.0,537.9,34875.0,38.0,5597.0,604.0,99.0,13963.0,2635.0,17.5
15247,양천구,우리은행신정동지점 [15247],578200.0,126.859385,37.521705,440.0,368.9,808.9,5.0,7080000.0,11.566,15.072,5.743,5.743,115.0,720.0,176.0,113.0,125.0,98.0,88.0,35.0,12.0,41.0,23.0,9.0,1712.0,460.3,25362.0,48.0,6269.0,583.0,104.0,14719.0,1577.0,16.3
15251,양천구,신정네거리역 [15251],578200.0,126.8533978302,37.5194642102,962.7,1023.0,1985.6,4.0,2421000.0,12.15,15.552,6.277,6.277,170.0,709.0,218.0,138.0,35.0,77.0,51.0,41.0,13.0,58.0,68.0,10.0,1205.0,79.9,21079.0,20.0,4312.0,1036.0,56.0,11074.0,1905.0,14.9
