자치구,정류장이름,ARS,가격_원,가격기준,가격_양면,가격_4면,상품유형,지원포맷,운영시간,야간조명,혼잡도,상세URL,수집일시,면수,가격_원per면
강서구,서남환경공원 [16277],16277,279300,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1376,2026-05-31,1.0,279300.0
강서구,서남환경공원 [16278],16278,279300,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1378,2026-05-31,1.0,279300.0
강서구,방화동도시개발2단지아파트 [16280],16280,279300,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/1369,2026-05-31,1.0,279300.0
강서구,개화산역 [16287],16287,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1838,2026-05-31,2.0,578200.0
강서구,등촌3동주공4단지아파트 [16295],16295,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1350,2026-05-31,2.0,205800.0
강서구,등촌동부영아파트 [16296],16296,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1352,2026-05-31,2.0,205800.0
강서구,등촌3동주공10단지아파트 [16297],16297,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1348,2026-05-31,2.0,205800.0
강서구,등촌3동대림아파트 [16298],16298,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1346,2026-05-31,2.0,205800.0
강서구,마곡13단지힐스테이트아파트 [16301],16301,759990,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2757,2026-05-31,2.0,379995.0
강서구,강서공업고등학교 [16303],16303,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1839,2026-05-31,2.0,578200.0
강서구,방화동도시개발1.2단지아파트 [16304],16304,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1365,2026-05-31,2.0,205800.0
강서구,서울항공비즈니스고등학교 [16305],16305,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1841,2026-05-31,2.0,578200.0
강서구,공항중학교 [16307],16307,411600,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1336,2026-05-31,2.0,205800.0
강서구,양천향교역 [16309],16309,1156400,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,원활,https://dukplace.com/ko/product/ad/1845,2026-05-31,2.0,578200.0
강서구,가양7단지상가 [16342],16342,279300,단면(1면),,,인쇄,"ai,psd",24시간 노출,O,매우혼잡,https://dukplace.com/ko/product/ad/1318,2026-05-31,1.0,279300.0
강서구,가양7단지상가앞 [16348],16348,1325940,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,보통,https://dukplace.com/ko/product/ad/2758,2026-05-31,2.0,662970.0
강서구,"마곡나루역4번출구,서울식물원 [16385]",16385,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1062,2026-05-31,2.0,901600.0
강서구,"마곡나루역4번출구,서울식물원 [16386]",16386,1803200,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/1063,2026-05-31,2.0,901600.0
강서구,마곡역교차로 [16387],16387,2156000,양면(2면),,,인쇄,"ai,psd",24시간 노출,O,혼잡,https://dukplace.com/ko/product/ad/624,2026-05-31,2.0,1078000.0
