ARS,자치구,정류장이름,공시지가_원per㎡,PNU,지번,공시지가_주소,공시연도
10200,강북구,쌍문동청한빌라 [10200],2823000.0,1132010500104940022,494-22대,서울특별시 도봉구 쌍문동 494-22,2025
10204,강북구,초당초등학교 [10204],1037000.0,1132010600105070006,507-6 도,서울특별시 도봉구 방학동 507-6,2025
10206,강북구,방학동우성아파트 [10206],3182000.0,1132010600105070001,507-1 대,서울특별시 도봉구 방학동 507-1,2025
10210,강북구,쌍문동성원아파트 [10210],3182000.0,1132010500200690001,산69-1임,서울특별시 도봉구 쌍문동 산 69-1,2025
10213,도봉구,쌍문동현대.한양아파트 [10213],1174000.0,1132010500100590001,59-1 도,서울특별시 도봉구 쌍문동 59-1,2025
10214,도봉구,쌍문동삼익금호1차아파트 [10214],2108000.0,1132010500100600015,60-15도,서울특별시 도봉구 쌍문동 60-15,2025
10216,도봉구,도봉구보건소앞 [10216],3150000.0,1132010500100560000,56 대,서울특별시 도봉구 쌍문동 56,2025
10218,강북구,북서울교회 [10218],1331000.0,1132010500105080003,508-3도,서울특별시 도봉구 쌍문동 508-3,2025
10221,강북구,덕성여대입구 [10221],5187000.0,1132010500104230047,423-47대,서울특별시 도봉구 쌍문동 423-47,2025
10224,강북구,숭미초등학교 [10224],1124000.0,1132010500103150008,315-8도,서울특별시 도봉구 쌍문동 315-8,2025
10231,노원구,도봉등기소 [10231],2517000.0,1132010700103390000,339 도,서울특별시 도봉구 창동 339,2025
10232,노원구,도봉등기소 [10232],2517000.0,1132010700103390000,339 도,서울특별시 도봉구 창동 339,2025
10234,노원구,창동역서측 [10234],1279000.0,1132010700103300004,330-4 도,서울특별시 도봉구 창동 330-4,2025
10235,노원구,창4동주민센터 [10235],1184000.0,1132010700100250000,25 도,서울특별시 도봉구 창동 25,2025
10241,노원구,창동주공4단지 [10241],1181000.0,1132010700103790000,379 도,서울특별시 도봉구 창동 379,2025
10242,노원구,창동주공4단지 [10242],1181000.0,1132010700103790000,379 도,서울특별시 도봉구 창동 379,2025
10251,강북구,창동서울탁주앞 [10251],1319000.0,1132010700107030016,703-16도,서울특별시 도봉구 창동 703-16,2025
10259,강북구,KT도봉지점 [10259],5171000.0,1132010700106510003,651-3대,서울특별시 도봉구 창동 651-3,2025
10265,노원구,창동역동측 [10265],10600000.0,1132010700100010028,1-28 대,서울특별시 도봉구 창동 1-28,2025
10313,강북구,금용아파트 [10313],1319000.0,1132010700107030016,703-16도,서울특별시 도봉구 창동 703-16,2025
10335,노원구,창동농협물류센터 [10335],3495000.0,1132010700100010012,1-12 도,서울특별시 도봉구 창동 1-12,2025
10342,강북구,한국사회봉사회 [10342],790600.0,1130510400201020002,산102-2임,서울특별시 강북구 우이동 산 102-2,2025
10564,강북구,청구아파트 [10564],1424000.0,1132010600107340005,734-5 도,서울특별시 도봉구 방학동 734-5,2025
10706,노원구,창일중학교 [10706],1181000.0,1132010700103700000,370 도,서울특별시 도봉구 창동 370,2025
10747,강북구,청구아파트 [10747],3182000.0,1132010600107340001,734-1 대,서울특별시 도봉구 방학동 734-1,2025
11101,중랑구,공릉시장 [11101],7045000.0,1135010300105670002,567-2대,서울특별시 노원구 공릉동 567-2,2025
11103,중랑구,태릉입구역4번출구 [11103],7722000.0,1135010300106170002,617-2대,서울특별시 노원구 공릉동 617-2,2025
11104,중랑구,태릉입구역3번출구 [11104],1192000.0,1135010300106160004,616-4도,서울특별시 노원구 공릉동 616-4,2025
11114,중랑구,주유소앞다운복지관 [11114],1263000.0,1135010300106560002,656-2도,서울특별시 노원구 공릉동 656-2,2025
11117,중랑구,태릉입구역7번출구 [11117],995000.0,1135010300106780001,678-1도,서울특별시 노원구 공릉동 678-1,2025
11127,중랑구,원자력병원 [11127],3714000.0,1135010300102150004,215-4대,서울특별시 노원구 공릉동 215-4,2025
11134,중랑구,효성화운트빌원자력병원후문 [11134],536900.0,1135010300101190000,119도,서울특별시 노원구 공릉동 119,2025
11135,중랑구,우방아파트 [11135],536900.0,1135010300101190000,119도,서울특별시 노원구 공릉동 119,2025
11138,중랑구,청솔아파트 [11138],1353000.0,1135010300100950000,95도,서울특별시 노원구 공릉동 95,2025
11140,중랑구,화랑대사거리 [11140],176500.0,1135010300100980003,98-3도,서울특별시 노원구 공릉동 98-3,2025
11141,중랑구,화랑대사거리 [11141],176500.0,1135010300100980003,98-3도,서울특별시 노원구 공릉동 98-3,2025
11142,중랑구,경춘선숲길.화랑대역공원 [11142],527200.0,1135010300101030016,103-16도,서울특별시 노원구 공릉동 103-16,2025
11144,중랑구,서울여대.육군사관학교행정안내소 [11144],527200.0,1135010300100290059,29-59 임,서울특별시 노원구 공릉동 29-59,2025
11145,중랑구,서울여대.육군사관학교행정안내소 [11145],166000.0,1135010300100270036,27-36 임,서울특별시 노원구 공릉동 27-36,2025
