ARS,자치구,정류장이름,승차_일평균,하차_일평균,승하차_일평균,경유노선수
20162,동작구,상도동중앙하이츠빌.상도전통시장 [20162],1187.8,1706.4,2894.2,12.0
20163,동작구,상도동중앙하이츠빌.상도전통시장 [20163],1863.7,794.5,2658.1,12.0
20164,관악구,숭실대입구역 [20164],603.6,670.3,1273.9,5.0
20166,관악구,숭실대입구역 [20166],4251.2,5307.7,9558.9,14.0
20167,관악구,봉현초등학교 [20167],727.1,1974.9,2702.0,9.0
20168,관악구,봉천고개.관악현대아파트 [20168],1754.9,1686.0,3440.9,8.0
20170,관악구,숭실대정문앞 [20170],677.8,423.6,1101.4,5.0
20174,관악구,총신대 [20174],330.4,679.4,1009.9,5.0
20176,관악구,사당중학교 [20176],472.8,464.4,937.2,6.0
20178,관악구,남성역 [20178],1032.5,334.5,1367.0,4.0
20180,관악구,사당시장 [20180],967.9,691.3,1659.1,6.0
20188,동작구,보라매병원입구 [20188],847.4,1428.3,2275.7,10.0
20202,동작구,중앙대후문 [20202],99.0,672.3,771.3,1.0
20207,구로구,신대방역 [20207],84.5,201.4,286.0,2.0
20217,동작구,서울특별시.보라매병원 [20217],747.7,378.8,1126.4,2.0
20241,동작구,상도SH빌아파트상도팰리스후문 [20241],74.8,174.8,249.6,1.0
20242,동작구,상도SH빌아파트상도팰리스후문 [20242],110.7,131.0,241.8,1.0
20248,동작구,대방역1번출구앞 [20248],1135.2,286.4,1421.6,2.0
20252,관악구,사당동대아신협앞 [20252],379.5,202.1,581.6,4.0
20254,관악구,사당롯데캐슬골든포레.사당해그린 [20254],628.5,235.8,864.4,5.0
20500,관악구,사당역10번출구 [20500],132.5,26.7,159.2,1.0
20511,관악구,이수역 [20511],2357.0,975.4,3332.4,6.0
20552,관악구,"이수시너스,이수역7번출구 [20552]",134.2,539.7,673.9,3.0
20578,관악구,이수역 [20578],62.6,311.9,374.5,2.0
20588,동작구,중대후문입구 [20588],1256.0,863.7,2119.7,4.0
20697,관악구,경문고등학교 [20697],93.2,41.5,134.7,2.0
20701,관악구,정금마을 [20701],56.9,12.3,69.2,1.0
20705,관악구,총신대역 [20705],1008.1,235.1,1243.2,2.0
20746,관악구,이수역 [20746],418.2,69.4,487.6,1.0
20834,동작구,대방역2번출구앞 [20834],1382.1,609.5,1991.5,3.0
20837,동작구,노량진역앞 [20837],647.6,3174.3,3821.9,4.0
20844,동작구,노량진역5번출구 [20844],1042.9,99.4,1142.3,2.0
20890,동작구,상도역 [20890],2633.0,452.8,3085.9,3.0
20901,동작구,중앙대병원 [20901],2180.7,1434.0,3614.7,2.0
20904,동작구,중앙대병원후문.흑석시장 [20904],257.8,116.5,374.4,2.0
20909,동작구,신대방역삼거리.성대시장 [20909],180.3,58.2,238.5,1.0
20911,구로구,신대방1동경남아파트 [20911],33.6,79.8,113.4,1.0
20928,구로구,교수아파트 [20928],8.2,29.4,37.6,1.0
20932,동작구,동작경희병원 [20932],78.5,51.4,129.9,2.0
20985,동작구,상도역 1번출구 [20985],17.6,98.7,116.3,2.0
21102,관악구,낙성대입구 [21102],1858.5,1173.5,3031.9,11.0
21103,관악구,행운동주민센터 [21103],1841.0,1281.0,3122.0,13.0
21104,관악구,서울대입구역5번출구 [21104],2503.7,1221.0,3724.8,10.0
21107,관악구,KT&G관악지점 [21107],757.1,961.2,1718.4,11.0
21108,관악구,신림사거리.신림역 [21108],2252.5,560.8,2813.3,3.0
21109,관악구,남부초등학교 [21109],1234.2,1991.8,3226.0,14.0
21110,구로구,호림박물관 [21110],769.8,1238.9,2008.7,14.0
21111,구로구,난곡입구 [21111],892.8,1630.0,2522.8,10.0
21112,구로구,관악구보훈회관.신림푸르지오 [21112],1896.3,1906.7,3803.0,12.0
21113,구로구,천주교성령봉사회관.등불교회 [21113],588.9,1090.0,1678.9,11.0
21114,구로구,KT구로지사 [21114],1593.0,1231.4,2824.4,11.0
21116,관악구,남서울중학교.성보중고등학교 [21116],2246.9,2281.4,4528.2,15.0
21117,관악구,신림사거리.신림역 [21117],2611.7,8229.5,10841.2,12.0
21119,관악구,봉천역.관악초등학교 [21119],1769.9,1846.4,3616.3,11.0
21121,관악구,봉천사거리 [21121],2190.9,2454.8,4645.7,13.0
21124,관악구,인헌중고.서울미술고 [21124],1763.4,1403.4,3166.8,11.0
21125,관악구,예술인마을.사당초등학교 [21125],1404.0,1358.3,2762.3,11.0
