ARS,자치구,정류장이름,최근접지하철_거리_m,최근접역명,최근접역호선,최근접역_승하차_일평균
24454,송파구,장지동주민센터앞 [24454],921.4,문정,8호선,45583.0
24455,송파구,장지동주민센터.송파파인타운1단지 [24455],928.9,문정,8호선,45583.0
24457,송파구,건영아파트앞 [24457],347.5,장지,8호선,34014.0
24458,송파구,잠실새내역앞 [24458],140.2,잠실새내,2호선,49133.0
24459,송파구,가락래미안앞 [24459],249.2,개롱,5호선,13434.0
24462,송파구,송파파인타운2단지.구립송파복지센터 [24462],899.1,문정,8호선,45583.0
24463,송파구,송파파인타운3단지.한림예고 [24463],884.6,장지,8호선,34014.0
24464,송파구,송파글마루도서관.버들어린이집 [24464],572.0,장지,8호선,34014.0
24466,송파구,문현고등학교.송파파인타운5단지 [24466],359.8,장지,8호선,34014.0
24467,송파구,문현고등학교 [24467],337.5,장지,8호선,34014.0
24468,강동구,풍납현대아파트 [24468],202.1,강동구청,8호선,21953.0
24469,송파구,문정3차푸르지오아파트.송파파인타운1단지 [24469],982.6,문정,8호선,45583.0
24472,송파구,가든파이브 [24472],444.2,장지,8호선,34014.0
24475,송파구,장지역가든파이브 [24475],145.0,장지,8호선,34014.0
24476,송파구,장지역가든파이브 [24476],119.8,장지,8호선,34014.0
24478,송파구,가든파이브공구상가 [24478],608.4,장지,8호선,34014.0
24481,송파구,석촌호수서호사거리 [24481],433.3,석촌고분,9호선(연장),15408.0
24482,송파구,석촌호수서호사거리 [24482],486.1,석촌고분,9호선(연장),15408.0
24483,송파구,미켈란호수가아파트 [24483],436.0,석촌,8호선,41104.0
24484,송파구,미켈란호수가아파트 [24484],439.3,석촌,8호선,41104.0
24486,송파구,호수임광아파트 [24486],444.2,잠실(송파구청),8호선,215254.0
24489,송파구,문정중학교후문 [24489],752.4,문정,8호선,45583.0
24490,송파구,문정동래미안아파트남문 [24490],774.6,문정,8호선,45583.0
24491,강동구,파크데일아파트입구 [24491],337.9,마천,5호선,14167.0
24496,송파구,송파푸르지오시티.한화오벨리스크 [24496],571.6,문정,8호선,45583.0
24497,송파구,송파푸르지오시티.한화오벨리스크 [24497],562.3,장지,8호선,34014.0
24499,송파구,복정역 [24499],139.1,복정,8호선,19185.0
24510,송파구,잠실4동주민센터.파크리오B상가 [24510],305.5,몽촌토성(평화의문),8호선,18003.0
24610,송파구,✈️ 잠실더스타파크(장미아파트) [24610],360.4,잠실(송파구청),8호선,215254.0
24611,송파구,✈️ 파크리오아파트 [24611],254.2,몽촌토성(평화의문),8호선,18003.0
24662,송파구,✈️ 잠실새내역(신천역) [24662],187.9,잠실새내,2호선,49133.0
24710,강남구,✈️ 종합운동장역 [24710],133.5,종합운동장,2호선,43338.0
24715,송파구,✈️ 잠실롯데월드(잠실역) [24715],286.8,잠실(송파구청),2호선,215254.0
24744,강동구,✈️ 선수촌아파트 [24744],23.1,올림픽공원(한국체대),5호선,34514.0
24745,강동구,✈️ 선수촌아파트 [24745],27.6,올림픽공원(한국체대),5호선,34514.0
25113,강동구,상일동산.롯데캐슬베네루체 [25113],752.8,상일동,5호선,29019.0
25114,강동구,상일동산.롯데캐슬베네루체 [25114],753.0,상일동,5호선,29019.0
25115,강동구,상일근린공원 [25115],1040.1,상일동,5호선,29019.0
25116,강동구,상일근린공원 [25116],1032.5,상일동,5호선,29019.0
25117,강동구,GS강동자이아파트.둔촌동프라자아파트 [25117],801.6,길동,5호선,18775.0
25118,강동구,둔촌동프라자아파트.GS강동자이아파트 [25118],737.1,길동,5호선,18775.0
25122,강동구,둔촌2동주민센터.서울양병원 [25122],489.0,길동,5호선,18775.0
25124,강동구,길동사거리.강동세무서 [25124],454.6,강동,5호선,37501.0
25125,강동구,강동역1번출구.동신중학교 [25125],76.1,강동,5호선,37501.0
25126,강동구,강동역(동신중학교) [25126],136.1,강동,5호선,37501.0
25133,강동구,상일동역1번출구 [25133],219.2,상일동,5호선,29019.0
25134,강동구,상일동역8번출구 [25134],142.6,상일동,5호선,29019.0
25135,강동구,고덕그라시움 [25135],508.8,상일동,5호선,29019.0
25136,강동구,고덕그라시움 [25136],546.1,고덕,5호선,20994.0
25137,강동구,고덕평생학습관.온조대왕체육관 [25137],360.2,고덕,5호선,20994.0
25139,강동구,고덕역 [25139],155.3,고덕,5호선,20994.0
25140,강동구,고덕역 [25140],74.8,고덕,5호선,20994.0
25141,강동구,배재중고등학교 [25141],426.2,고덕,5호선,20994.0
25142,강동구,배재중고등학교 [25142],394.6,고덕,5호선,20994.0
25143,강동구,서울장애인종합복지관 [25143],441.8,명일,5호선,17205.0
25145,강동구,서울시동부기술교육원 [25145],389.8,명일,5호선,17205.0
25147,강동구,암사3동주민센터(강동롯데캐슬퍼스트) [25147],298.8,암사역사공원,8호선,13768.0
25148,강동구,암사3동주민센터프라이어팰리스 [25148],333.2,암사역사공원,8호선,13768.0
25149,강동구,강일중선사고.양지종합시장 [25149],231.0,암사역사공원,8호선,13768.0
25150,강동구,강일중선사고.양지종합시장 [25150],269.8,암사역사공원,8호선,13768.0
25151,강동구,신암중학교 [25151],551.0,암사역사공원,8호선,13768.0
25152,강동구,신암중학교 [25152],564.8,암사역사공원,8호선,13768.0
25155,강동구,암사역선사현대아파트 [25155],54.1,암사,8호선,31654.0
25156,강동구,암사역2번출구.암사종합시장 [25156],67.4,암사,8호선,31654.0
25157,강동구,천호동공원 [25157],490.9,암사,8호선,31654.0
25160,강동구,서울현대요양병원 [25160],402.1,천호(풍납토성),5호선,82871.0
25161,강동구,천호역현대백화점 [25161],196.5,천호(풍납토성),5호선,82871.0
25163,강동구,천호역 [25163],240.4,천호(풍납토성),8호선,82871.0
25165,강동구,상일동역2번출구 [25165],133.4,상일동,5호선,29019.0
25166,강동구,상일동역2번출구 [25166],101.8,상일동,5호선,29019.0
25167,강동구,고덕초등학교 [25167],392.7,상일동,5호선,29019.0
25168,강동구,고덕초등학교 [25168],374.4,상일동,5호선,29019.0
25170,강동구,강덕초등학교.고덕그라시움 [25170],500.9,상일동,5호선,29019.0
25172,강동구,광문고.서울컨벤션고 [25172],637.1,고덕,5호선,20994.0
25174,강동구,고덕아이파크아파트 [25174],483.6,고덕,5호선,20994.0
25177,강동구,강동경희대병원.명일동이마트 [25177],235.7,고덕,5호선,20994.0
25178,강동구,강동아트센터.강동경희대병원 [25178],341.0,고덕,5호선,20994.0
25181,강동구,한영중고한영외고 [25181],796.1,고덕,5호선,20994.0
25182,강동구,길동자연생태공원 [25182],1115.9,굽은다리(강동구민회관앞),5호선,19837.0
25183,강동구,길동자연생태공원 [25183],1135.2,굽은다리(강동구민회관앞),5호선,19837.0
25187,강동구,동북고등학교.둔촌오륜역 [25187],198.2,둔촌오륜,9호선(연장),9254.0
25188,강동구,오륜교회앞 [25188],606.4,둔촌오륜,9호선(연장),9254.0
25190,강동구,보훈병원 [25190],462.1,중앙보훈병원,9호선(연장),24269.0
25191,강동구,보훈병원 [25191],529.0,중앙보훈병원,9호선(연장),24269.0
25194,강동구,명일여자고등학교 [25194],553.5,명일,5호선,17205.0
25195,강동구,명일여자고등학교 [25195],574.9,명일,5호선,17205.0
25197,강동구,길동성당 [25197],486.1,굽은다리(강동구민회관앞),5호선,19837.0
25239,강동구,십자성마을 [25239],283.6,굽은다리(강동구민회관앞),5호선,19837.0
25240,강동구,길동역1번출구 [25240],19.8,길동,5호선,18775.0
25242,강동구,예닮요양병원 [25242],268.7,길동,5호선,18775.0
25243,강동구,예닮요양병원 [25243],267.4,길동,5호선,18775.0
25244,강동구,강동리바트 [25244],406.7,둔촌동,5호선,27634.0
25245,강동구,동명약국앞 [25245],228.9,둔촌동,5호선,27634.0
