ARS,자치구,정류장이름,교차로수_300m,가로망연장_300m,간선도로연장_300m,교차로수_500m,가로망연장_500m,간선도로연장_500m,간선도로거리_m
04753,성동구,왕십리역7번출구 [04753],83,9141.0,3315.0,248,23504.0,5847.0,61.7
05101,광진구,군자교 [05101],67,8595.0,4612.0,168,23831.0,10163.0,15.2
05115,광진구,국립서울병원앞 [05115],54,6357.0,997.0,161,19254.0,2651.0,13.9
05116,광진구,중곡동종점 [05116],85,8134.0,1009.0,155,17027.0,2276.0,12.7
05118,광진구,신성시장앞 [05118],70,8111.0,817.0,179,21059.0,2445.0,13.2
05121,광진구,면곡시장 [05121],37,5626.0,1837.0,125,17067.0,3850.0,19.2
05132,광진구,용곡삼거리 [05132],60,7045.0,1078.0,140,16536.0,1680.0,17.4
05135,광진구,용암사입구 [05135],57,6686.0,1082.0,133,15294.0,1679.0,17.6
05136,광진구,대원고교앞 [05136],53,5621.0,737.0,145,15711.0,2394.0,14.1
05142,광진구,구의사거리.광진소방서앞 [05142],50,5157.0,1716.0,135,13966.0,2941.0,9.9
05143,광진구,어린이회관 [05143],27,3341.0,1211.0,105,10845.0,2709.0,12.5
05145,광진구,광진경찰서 [05145],97,7721.0,616.0,182,17553.0,2225.0,11.3
05146,광진구,광진경찰서 [05146],90,8204.0,1407.0,189,17586.0,2808.0,15.2
05148,광진구,광진구청 [05148],91,7074.0,1999.0,201,18554.0,3919.0,13.1
05149,광진구,광진구청.구의역2번출구 [05149],58,6177.0,1666.0,189,17704.0,5048.0,11.5
05150,광진구,래미안구의파크스위트 [05150],56,6793.0,1431.0,139,16219.0,2981.0,17.9
05152,광진구,구의2동주민센터입구 [05152],46,6013.0,1242.0,115,14486.0,3642.0,20.4
05154,광진구,구의사거리 [05154],58,6123.0,1764.0,135,14918.0,2969.0,18.0
